Title,Company,Location,Description,Link
"Data Scientist, Decisions - AdTech",Lyft,"New York, NY",N/A,https://www.linkedin.com/jobs/view/data-scientist-decisions-adtech-at-lyft-4045840019?position=11&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=5TW%2BEPLR7k6%2FNdpS5jsiCA%3D%3D
"Machine Learning Engineer, Pricing Modeling",Airbnb,United States,N/A,https://www.linkedin.com/jobs/view/machine-learning-engineer-pricing-modeling-at-airbnb-4023774853?position=12&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=XM1VwYMLFuLTHVfpPm4cfA%3D%3D
Data Scientist,LTIMindtree,"Tampa, FL",N/A,https://www.linkedin.com/jobs/view/data-scientist-at-ltimindtree-4043343269?position=13&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=7KF4VjfrOS9Hd6Q96T7qXA%3D%3D
Data Scientist I,FiscalNote,United States,N/A,https://www.linkedin.com/jobs/view/data-scientist-i-at-fiscalnote-4049466678?position=14&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=vxfm2eDvEP3zePieUNuhbg%3D%3D
Data Scientist,Inizio Partners,United States,"Job Summary: Our client is looking for a Data Scientist to develop and apply models and statistical analysis within our enterprise data science group. This individual will work within a functionally organized Enterprise Data & Analytics group with support from IT, Data Engineering and Governance, Business Intelligence, and Product Management. Its scope encompasses electricity and gas contracts, smart home products, plant operations, trading, and energy services. The role will report to data science lead and will work on cross-functional project teams to deliver repeatable and scalable data solutions to drive value for the organization. This will require both an understanding of the intersection between business economics and the use of algorithms to make or aid business decisions.Essential Duties/Responsibilities:Understanding of machine learning and deep learning models to select and implement for prediction, classification, and clustering projects.Apply machine learning or reinforcement learning to optimize marketing efforts with respect to customer acquisition, retention, pricing, cross-selling, operations and trading.Passion to learn latest AI techniques and explore applications for large language models.Understanding of the business context of projects and able to identify areas where models will be less predictive or have caveats to their predictive powers.Ability to translate complex business issues into achievable analytical learning objectives and actionable analytic projects.Ability to communicate and establish good relations with multi-disciplinary teams.Proficiency with Python, including pandas, scikit-learn.Experience in Spark or PySparkMinimum Requirements:Bachelors degree in a quantitative field, such as Statistics, Mathematics, Computer Science, Economics, Engineering, or Operations Research required.6+ years of experience in statistical modeling and quantitative analysis in industry or full-time academic researchPreferred Qualifications:Advanced Degree (MS or PhD) in Statistics, Mathematics or Quantitative Marketing with a focus on machine learning is strongly preferred.Additional Knowledge, Skills and Abilities: Experience with Databricks.Experience with AWS SageMaker.Experience with Azure AI Studio.Retail electricity or gas experience.Comfortable working in Linux Experience with Gi.Experience with Docker containers.Ability to learn and apply new quantitative techniques quickly and appropriately.Ability to interpret and communicate complex analytics results.Ability to identify practical business implications.Good communication skills.Keen attention to detail.Think critically about analysis to ensure the conclusions make sense before sharingNeed a minimum of 5-6 years hands-on experience as a Data Scientist to be shortlisted.Hands-on experience in Logistic Regression, Hypothesis testing, Random Forest, XG Boost, Numpy, Pandas , Scikit-Learn is MUST HAVE.",https://www.linkedin.com/jobs/view/data-scientist-at-inizio-partners-4049222532?position=15&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=9qWEdfEbnIF9Jpq7OhRPDQ%3D%3D
Data Scientist,Infosys,"Alpharetta, GA",N/A,https://www.linkedin.com/jobs/view/data-scientist-at-infosys-4042274669?position=16&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=TY0KVjWbVgUxwXPTTXOAag%3D%3D
Data Scientist,Sartre Group,"New York, United States",N/A,https://www.linkedin.com/jobs/view/data-scientist-at-sartre-group-4039856989?position=17&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=t3qvG9m7OY%2FABcb8TdtedA%3D%3D
Machine Learning Engineer,Inhabitr,"Milpitas, CA",N/A,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-inhabitr-4040470462?position=18&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=ca23Mig9yjjLumcfh5wGbQ%3D%3D
"Senior, Data Scientist",Walmart,"Bentonville, AR","Position Summary...What you'll do...Navigating rush hour traffic to deliver groceries to our customers in as little as an hour. Maneuvering through a bustling city during the peak times of the day. Adapting our routes during rush hour and major events like the Super Bowl. Sounds simple right? Our Last-Mile team utilizes hundreds of data points to create connections between stores, customers, shoppers, and drivers.As a Senior Data Scientist for Last-Mile Delivery at Walmart, you will help pioneer algorithms for demand, supply, capacity, cost, and fulfillment to make Walmart's delivery platform one of the fastest and most reliable delivery services in the country. You will have access to our limitless global data harvested from our customer and driver apps.Identifying opportunities and business problems and framing them into advanced data analytics project initiatives.Extracting available and relevant data from internal and external data sources to perform data science solution development.Performing exploratory data analysis to verify data quality and data integrity.Design, analyze, and run both simulated and live experiments (A/B and multivariate tests) to drive KPI improvements.You will conceive and lead projects while being a hands-on builder of machine learning/deep learning software components. You will coach and mentor the next generation of strong engineers on the team.What you will work on...You will be joining a growing data science team and will tackle some of the most challenging and impactful problems that are transforming how people buy groceries every day. Our systems support thousands of drivers and shoppers on the Walmart's platform by offering immediate and flexible earnings opportunities, and so we must remain highly reliable at all times to ensure that Walmart's customers receive timely and high-quality deliveries.Areas Of WorkModeling real time demand of orders and supply of delivery driversFormulate algorithms to establish efficient ecosystems for customers, drivers, and our stores.Building demand growth and expansion strategiesUnderstanding driver and customer feedbacks and analyze driver lifetime valueSkills RequiredAbility to thrive in an unstructured environment, working autonomously on a strong team to find opportunity and deliver business impact.Advanced understanding of machine learning algorithms, statistical modeling, causal inference, complex systems modeling, operations research, economics, etc. to shape the future of Walmart.Experience with A/B testing and ability to run rigorous experiments to produce scientifically sound recommendations.Build simulations to project impact of various product and policy interventions.Proven ability with statistical methods and advanced modeling techniques like Regression, Decision Trees, Random Forest, Clustering, NLP, Text Mining, etc.Proficient coding in one or more languages: Java, C++, Python, Spark, Scala, or RDeep expertise in writing efficiently and debugging complex SQL queries.Data driven storytelling experience with visualizations in Tableau, Power BI, etc.Strong written, oral communication and presentation skillsProblem solving skills / Abstract thinking - ability to understand a real-life problem, make the right judgement of problem statement, and give a feasible design of solution.Experience in interacting with business stakeholders and effectively drive conversations.Experience on leveraging visualization to build compelling stories based on context to integrate multiple pieces of information into cohesive insights.Benefits & PerksBeyond competitive pay, you can receive incentive awards for your performance. Other great perks include 401(k) match, stock purchase plan, paid maternity and parental leave, PTO, multiple health plans, and much more.Who We AreJoin Walmart and your work could help over 275 million global customers live better every week. Yes, we are the Fortune #1 company. But you'll quickly find we're a company who wants you to feel comfortable bringing your whole self to work. A career at Walmart is where the world's most complex challenges meet a kinder way of life. Our mission spreads far beyond the walls of our stores. Join us and you'll discover why we are a world leader in diversity and inclusion, sustainability, and community involvement. From day one, you'll be empowered and equipped to do the best work of your life.At Walmart, we offer competitive pay as well as performance-based bonus awards and other great benefits for a happier mind, body, and wallet. Health benefits include medical, vision and dental coverage. Financial benefits include 401(k), stock purchase and company-paid life insurance. Paid time off benefits include PTO (including sick leave), parental leave, family care leave, bereavement, jury duty, and voting. Other benefits include short-term and long-term disability, company discounts, Military Leave Pay, adoption and surrogacy expense reimbursement, and more.‎‎‎You will also receive PTO and/or PPTO that can be used for vacation, sick leave, holidays, or other purposes. The amount you receive depends on your job classification and length of employment. It will meet or exceed the requirements of paid sick leave laws, where applicable.‎For information about PTO, see https://one.walmart.com/notices .‎‎Live Better U is a Walmart-paid education benefit program for full-time and part-time associates in Walmart and Sam's Club facilities. Programs range from high school completion to bachelor's degrees, including English Language Learning and short-form certificates. Tuition, books, and fees are completely paid for by Walmart.‎Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to a specific plan or program terms.‎For Information About Benefits And Eligibility, See One.Walmart .‎The annual salary range for this position is $90,000.00-$180,000.00‎Additional Compensation Includes Annual Or Quarterly Performance Bonuses.‎Additional Compensation For Certain Positions May Also Include‎‎ Stock‎‎Minimum Qualifications...Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.Option 1- Bachelor's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3 years' experience in an analytics related field. Option 2- Master's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 1 years' experience in an analytics related field. Option 3 - 5 years' experience in an analytics or related field.Preferred Qualifications...Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.Data science, machine learning, optimization models, Master's degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch), We value candidates with a background in creating inclusive digital experiences, demonstrating knowledge in implementing Web Content Accessibility Guidelines (WCAG) 2.2 AA standards, assistive technologies, and integrating digital accessibility seamlessly. The ideal candidate would have knowledge of accessibility best practices and join us as we continue to create accessible products and services following Walmart's accessibility standards and guidelines for supporting an inclusive culture.Primary Location...702 Sw 8Th St, Bentonville, AR 72716, United States of America",https://www.linkedin.com/jobs/view/senior-data-scientist-at-walmart-4035390487?position=19&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=l5scWgzEUE5eMcmaTsh8IA%3D%3D
Medicaid Data Scientist 3,Abt Global,"Atlanta, GA",N/A,https://www.linkedin.com/jobs/view/medicaid-data-scientist-3-at-abt-global-4025352532?position=20&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=Orl4vRkk%2BVTg4zG9cM4niw%3D%3D
Data Scientist,Connecticut Innovations,"Connecticut, United States",N/A,https://www.linkedin.com/jobs/view/data-scientist-at-connecticut-innovations-4042338936?position=21&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=3a%2BcS21gywIlXdjqcBm9jw%3D%3D
Junior Data Scientist,Redhorse Corporation,"Arlington, VA",N/A,https://www.linkedin.com/jobs/view/junior-data-scientist-at-redhorse-corporation-4043970717?position=22&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=NvJsDvA%2FOjEN8d6qjA7GJA%3D%3D
Data Scientist,Digital Janet,United States,"ResponsibilitiesCollect, process, and analyze large datasets to identify trends and insights.Develop predictive models and machine-learning algorithms.Prepare comprehensive reports and visualizations to communicate findings.Collaborate with cross-functional teams to define data requirements and drive data-driven decisions.Stay updated with the latest data science techniques and technologies.QualificationsBachelor’s or Master’s degree in Data Science, Statistics, Computer Science, or a related field.Proven experience as a Data Scientist.Proficiency in programming languages such as Python or R.Strong knowledge of statistical methods and machine-learning techniques.Excellent problem-solving skills and attention to detail.Ability to work independently and manage multiple projects.",https://www.linkedin.com/jobs/view/data-scientist-at-digital-janet-4049616477?position=23&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=4QLkSFOLPh5WCMYH4RrEag%3D%3D
Medicaid Data Scientist 3,Abt Global,"Durham, NC",N/A,https://www.linkedin.com/jobs/view/medicaid-data-scientist-3-at-abt-global-4025354088?position=24&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=OXRfNr8a%2F5tBMA0rGsuSEg%3D%3D
AI Engineer,Pulley,"San Francisco, CA","Pulley's mission is to make it easier for anyone to start a company. We believe that more startups should exist and that founder-led companies are more successful in the long term. With Pulley's cap table management tools, companies can better understand and optimize their equity for the long term. Starting a company is hard enough. Managing equity shouldn't be.We're a high-performing team looking for passionate, execution-focused, self-starters to help us build equity management tools for founders. Pulley is growing quickly with over 3000 customers including unicorns like Clubhouse, Birdies, and Coda - all within our first year of product launch.Our trajectory is fueled by top investors like Founders' Fund, Stripe, General Catalyst, Caffeinated Capital, 8vc, Elad Gil, among other great angels. All of our growth has been organic, and we're growing the team to meet the demand.🌟 AI EngineerWe're looking for a curious and motivated Software Engineer who is passionate about utilizing AI to build impactful solutions. You will play a critical role in automating internal tools to improve efficiency, and developing AI-powered applications to meet the needs of internal stakeholders and customers. In this cross-functional role, you'll have a unique opportunity to work closely with leadership, and tackle innovative projects that will directly impact how our business functions.🛠 ResponsibilitiesUtilize AI/ML products to automate internal tools and build products that drive efficiencyHelp manage the full product development lifecycle for new platform capabilities and product experiences end-to-endCollaborate with cross-functional stakeholders to understand their needs and iterate on solutions🙌 Qualifications & FitStrong software engineering skills, proficiency in Python Deep interest in AI/ML technologies and the latest AI research, and familiarity with AI-powered developer tools like ChatGPTAbility to work cross functionally with other teams💚 BenefitsUS based benefits:Health, Dental, and Vision insuranceUnlimited PTO401(k) Match✨ Our CultureTL&DR - Pulley is a unique fit, tailored for those who align with our values and culture. We are looking for people who are excited about building a great company, not just working in a high-growth startup. In addition to function-specific skills, here are some traits that enable our team members to thrive:First Principles Thinking. We believe in breaking down problems into their most basic parts. We don't reject ideas because they haven't worked before. We understand ""why did certain things work?"" and apply it to our situation.Ship It & Iterate. Shipping is the starting line for learning. Ship something, talk to users, get feedback, and iterate. We focus on the inputs, on what we can control, not the outcomes. We take our best bets, and don't fixate on the finish line.Boldly Honest & Aggressively Considerate. Being boldly honest means we push one another to act from first principles, set and hit goals, and ruthlessly prioritize. Being aggressively considerate means we care about each other as humans to win as a team. We speak up and embrace feedback.Default Yes. We believe that something is possible unless proven otherwise. Hard problems are often solved by people who didn't know it was impossible.We're also inspired by the culture work done at other companies and plan to develop our own playbook here too. One of the concepts that resonate most with us is the importance of stunning colleagues. If you like the sound of our environment and you're passionate about joining a team like the one we've described, we'd love to talk!Annual Salary Range: $90,000—$125,000 USD, plus equity to be negotiated.",https://www.linkedin.com/jobs/view/ai-engineer-at-pulley-4049672804?position=25&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=bbPByDCIfojePhEhYt%2B%2BhA%3D%3D
Data Scientist (AI/ML),Syntricate Technologies,"Irving, TX","Hi,Hope you are doing wellNumber of position : 6Only Full Time no C2C and No ContractFull-timeI, Shakib (i3 infotek) would like to share a job opportunity as Data Scientist based in Irving, TX (Onsite) location for a Full-time position. In case, if you are not comfortable with this location, please share your preference with contact details for further requirements ***Kindly find the JD below and let me know if you are available for the same.Data ScientistJob Location: Irving, TX (Onsite)Duration: Full-timeJob DescriptionSkill: Data Scientist with Generative AI ExpertiseRole & ResponsibilitiesDesign, develop, and implement advanced AI solutions to solve complex business problems across various domains.Collaborate with engineers, researchers, and product managers to understand business needs and translate them into technical specifications for AI models.Gather, clean, and prepare data for training and evaluating sophisticated AI models, ensuring data quality and ethical considerations.Explore and implement state-of-the-art AI techniques, including deep learning, natural language processing, and computer vision, tailored to specific needs.Evaluate and compare different AI model architectures and hyperparameters to optimize performance, address potential biases, and ensure responsible development.Develop monitoring and evaluation frameworks to track AI model performance and ensure alignment with business goals.Communicate complex AI concepts and findings to technical and non-technical audiences through data visualization, storytelling, and presentations.SkillsTechnical:Programming languages: Python (proficient) with major Client libraries.Experience with opensource Gen AI LLMs e.g., Llama and Dolly.Machine learning, NLP & deep learning: Strong understanding of supervised and unsupervised learning, neural networks, transformers.Generative AI techniques: Experience with GANs, text-to-image generation, text generation models.Data wrangling & manipulation: SQL, data cleaning, feature engineering.Hyperscalers: AWS, Azure, or GCP experience a plusNon-technicalProblem-solving & critical thinking: Ability to identify and solve complex problems with data-driven solutions.Communication & collaboration: Effectively communicate technical concepts to diverse audiences, work with geographically distributed teams.Innovation & creativity.Attention to detail & accuracy.Self-motivation & continuous learning.Please reply me with your updated resume and required details:Full NameBest number to reach you:Work Authorization/Visa StatusCurrent Location:Expected CompensationBest time to call you:Waiting for your earliest responseSincerely,Mohd ShakibSr. Technical Recruiter Direct: 781-896-2153 Address: 1500 District Avenue, Ste. 4135, Burlington, MA 01803",https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=26&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=cij9tIZaCuO4tGDqxjwj0A%3D%3D
Machine Learning Engineer,Paradigm,United States,N/A,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-paradigm-4046402532?position=27&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=xMDGUnVTgufX8N7SWcGuSA%3D%3D
Data Scientist Intern,MillerKnoll,"Zeeland, MI",N/A,https://www.linkedin.com/jobs/view/data-scientist-intern-at-millerknoll-4038547797?position=28&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=0W8itQg2xypKY6027ie9jw%3D%3D
AI Engineer,Snappr,"San Francisco, CA",N/A,https://www.linkedin.com/jobs/view/ai-engineer-at-snappr-4049451912?position=29&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=X78XzBC9xBOZutkmj9UEeg%3D%3D
Medicaid Data Scientist 3,Abt Global,"Rockville, MD",N/A,https://www.linkedin.com/jobs/view/medicaid-data-scientist-3-at-abt-global-4025353305?position=30&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=qSAJzMNbs3zaVkDSsycRqw%3D%3D
Data Scientist,LTIMindtree,United States,"About Us:LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com. Job Title:Data Scientist Work LocationUnited StatesJob Description10+ years of experience in data science – specific areas are regression (XGBoost, neural networks) and unsupervised machine learning (PCA, k-means, SVMs, etc.)Typical languages (Python, SQL – must). DataBricks nice to haveBenefits/perks listed below may vary depending on the nature of your employment with LTIMindtree (“LTIM”):Benefits and Perks:Comprehensive Medical Plan Covering Medical, Dental, VisionShort Term and Long-Term Disability Coverage401(k) Plan with Company matchLife InsuranceVacation Time, Sick Leave, Paid HolidaysPaid Paternity and Maternity LeaveThe range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law. Safe return to office:In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes.",https://www.linkedin.com/jobs/view/data-scientist-at-ltimindtree-4035638811?position=31&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=9O%2FJ63Nodt7mA3qP2oOxsA%3D%3D
Machine Learning Engineer,Proximate Technologies Inc,"Houston, TX","Company DescriptionProximate Technologies Inc is in staffing and consulting since 2004, we are immensely successful in creating a global network of highly adopt intelligent workforce that can help you achieve critical projects and goals. Keeping pace with projects and being on the lookout for the extremely talented individuals has become even more challenging and here is where Proximate comes in to play!Job DescriptionDesign complex systems of systems for training and running machine learning models with industry best practiceDevelop, identify, and report intellectual property through patent applications, invention disclosures, white papers, and presentationsContribute to all phases of product development and delivery from Analysis & Design all the way through to successful DeploymentCollaborate with the product team, architects, and others to understand the opportunities and limitations of AI, ML, and data engineeringQualificationsMasters in Computer engineering. Solid in Python with familiarity in popular ML libraries. Additional InformationAll your information will be kept confidential according to EEO guidelines.",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-proximate-technologies-inc-4047245917?position=32&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=v%2BTuvxwtlmAhpV5qCMtzeA%3D%3D
Junior Data Scientist,"NasTech Global, Inc.,","Falls Church, VA",N/A,https://www.linkedin.com/jobs/view/junior-data-scientist-at-nastech-global-inc-4045008943?position=33&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=j22bofFA%2Ft6PyRzPS8DupA%3D%3D
Apprentice Engineer - Artificial Intelligence / Machine Learning,LinkedIn,"Mountain View, CA","Apprentice Engineer – Artificial Intelligence / Machine LearningMountain View, CAThis role is not eligible for visa sponsorship. Applicants must be authorized to work in the US for LinkedIn without requiring visa sponsorship now or in the future.To learn more about the program and the application questions and timeline, please visit: careers.linkedin.com/reach. Company DescriptionLinkedIn is the world’s largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We’re also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that’s built on trust, care, inclusion, and fun – where everyone can succeed. Join us to transform the way the world works.Searching for your dream job? At LinkedIn, we have developed an apprenticeship program that creates opportunity for every individual with the passion, potential, and drive to either develop or restart their career in engineering. We fundamentally believe top talent can come from anywhere, regardless of educational training or professional experience.REACH ProgramREACH is a multi-year program where individuals with passion for engineering will work in technical roles to build their skill set and gain the experience needed to become an Engineer at LinkedIn. The time each apprentice spends in this program will vary depending on their incoming skill set, experience, and progress through the program. The time in program is a one year minimum and a five year maximum in the apprenticeship. This program is designed for candidates who have non-traditional career paths and we strongly encourage those candidates to apply. This includes but is not limited to: candidates without Computer Science degrees who are self-taught, those that are re-entering the workforce, individuals switching careers, or those who have attended boot camp style courses focusing on machine learning or data science.Hybrid WorkAt LinkedIn, we trust each other to do our best work where it works best for us and our teams. This role offers a hybrid work option, meaning you can both work from home and commute to a LinkedIn office, depending on what’s best for you and when it is important for your team to be together.Artificial Intelligence/ Machine Learning ApprenticeshipAs an Apprentice Engineer, you will be placed on an Artificial Intelligence/ Machine Learning engineering team at LinkedIn developing cutting-edge machine learning models that serve millions of members. You will learn from fellow engineers and leaders and develop key skills applicable to a career in Artificial Intelligence/Machine Learning. Furthermore, apprentices are given a percentage of time to focus on their personal technical development, using both LinkedIn’s internal ecosystem and external educational opportunities.Is Artificial Intelligence/ Machine Learning a good fit for me?You might be a good fit for this apprentice role if you have strong quantitativeand problem-solving skills, regardless of the areas in which you developed them or applied them. There are endless possibilities for the experiences that have prepared you for this apprenticeship. For example, you might be someone working in analytics or software engineering who has been wanting to switch to artificial intelligence/ machine learning. You might be someone with a background in social science who has applied quantitative methods in that arena. You might be someone whose hobby is thinking about improvements to sports statistics like expected goals, home runs, or team rankings.Job Responsibilities:• Contribute a unique perspective and creative approach to solving problems at LinkedIn• Continue to learn and develop artificial intelligence/ machine learning skills• Under the mentorship and guidance of seasoned LinkedIn engineers, produce high-quality software that is tested, code reviewed, and checked in regularly for continuous integration• Solve difficult problems with machine learning, write code to put those solutions into production or inform business decision making, and deliver with a sense of urgency and quality• Develop machine learning models that will serve our 740 million members on LinkedInBasic Qualifications:• An undergraduate or graduate degree (bachelor’s, master’s or doctorate) in any field• Demonstrated history of independent problem solving, data-driven thinking, and quantitative skills. These skills may have been gained or demonstrated as part of a degree program or prior work experience. These do not have to be in a technology setting, but rather any situation in which you used math and code to help drive decisions or outcomes.• Demonstrated history of Artificial Intelligence/Machine Learning related projects. There is a wide range of examples that will qualify, including but not limited to:● Open-source contributions● Personal analytics or machine learning projects● Analytical, mathematical, or statistical work as part of a job or researchPreferred Qualifications:• Understanding of CS basic concepts: variables, recursion, algorithms, data structures, object orientation, error handling, etc. Knowing these will make it easier for you to learn more complex software topics!• Basic knowledge of common machine learning techniques such as regression, clustering, and tree-based methods• Excellent collaborative and communication skills, and ability to clearly articulate your perspective• Entrepreneurial mindset to bring in a new and unique perspective to the team• Desire to learn and develop skills in the fields of artificial intelligence/ machine learningSuggested Skills:• Statistics & Machine Learning concepts and algorithms• Data Analysis• Experience with coding in programming/scripting languages such as Python, R, Java, C++, Matlab, SQLLinkedIn is committed to fair and equitable compensation practices.The pay range for this role is $82,000 to $109,000. Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to skill set, depth of experience, certifications, and specific work location. This may be different in other locations due to differences in the cost of labor.The total compensation package for this position may also include annual performance bonus, stock, benefits and/or other applicable incentive compensation plans. For more information, visit https://careers.linkedin.com/benefits.Equal Opportunity StatementLinkedIn is committed to diversity in its workforce and is proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class. LinkedIn is an Affirmative Action and Equal Opportunity Employer as described in our equal opportunity statement here: https://microsoft.sharepoint.com/:b:/t/LinkedInGCI/EeE8sk7CTIdFmEp9ONzFOTEBM62TPrWLMHs4J1C_QxVTbg?e=5hfhpE. Please reference https://www.eeoc.gov/sites/default/files/2023-06/22-088_EEOC_KnowYourRights6.12ScreenRdr.pdf and https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf for more information.LinkedIn is committed to offering an inclusive and accessible experience for all job seekers, including individuals with disabilities. Our goal is to foster an inclusive and accessible workplace where everyone has the opportunity to be successful.If you need a reasonable accommodation to search for a job opening, apply for a position, or participate in the interview process, connect with us at accommodations@linkedin.com and describe the specific accommodation requested for a disability-related limitation.Reasonable accommodations are modifications or adjustments to the application or hiring process that would enable you to fully participate in that process. Examples of reasonable accommodations include but are not limited to:-Documents in alternate formats or read aloud to you-Having interviews in an accessible location-Being accompanied by a service dog-Having a sign language interpreter present for the interviewA request for an accommodation will be responded to within three business days. However, non-disability related requests, such as following up on an application, will not receive a response.LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information.Pay Transparency Policy StatementAs a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency.Global Data Privacy Notice for Job CandidatesThis document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://lnkd.in/GlobalDataPrivacyNotice",https://www.linkedin.com/jobs/view/apprentice-engineer-artificial-intelligence-machine-learning-at-linkedin-4046519410?position=34&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=SEoObYcFHOlEJSxOBglKNA%3D%3D
Machine Learning Engineer,Steneral Consulting,United States,N/A,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-steneral-consulting-4049238025?position=35&pageNum=0&refId=4UpR2CpOdWvZbbvFbzPMag%3D%3D&trackingId=Qt%2B6AfPuPHZK7WWd5vuoxA%3D%3D
